cidade;pib;mat1517;veiculos;motos;populacao;taxa_pop1519;taxa_pop2024;taxa_pop2529;pop60p;rodovia;cluster
Adamantina;753020;95;22266;5415;33843;0,070620217;0,079071004;0,077328;19;23;2
Adolfo;67123;81;1737;315;3524;0,072360953;0,077185017;0,076334;17;4;2
Aguaí;619843;57;16229;4558;33181;0,083300684;0,088514511;0,091046;12;63;4
Águas da Prata;104041;45;3724;765;7651;0,071101817;0,078551823;0,076591;19;27;2
Águas de Lindóia;299599;60;10242;2946;17610;0,075184554;0,076149915;0,080239;16;7;2
Águas de Santa Bárbara;121546;65;2947;443;5700;0,084035088;0,075263158;0,072807;16;48;2
Águas de São Pedro;86655;129;2101;277;2834;0,070924488;0,068807339;0,063162;25;5;2
Agudos;1880838;74;16089;3791;35022;0,085546228;0,08711667;0,085775;12;48;4
Alambari;64864;74;1672;489;5150;0,090485437;0,08776699;0,09068;12;46;4
Alfredo Marcondes;53678;71;1809;340;3905;0,069910371;0,078361076;0,073496;21;11;2
Altair;89780;63;1188;117;3883;0,083955704;0,087046098;0,092712;12;17;4
Altinópolis;306746;67;7685;681;15581;0,081766254;0,081060266;0,081445;16;48;2
Alto Alegre;74194;67;2015;381;4081;0,068610635;0,076206812;0,079882;21;23;2
Alumínio;1601243;74;6107;841;17177;0,08656925;0,084706293;0,086802;10;9;4
Álvares Florence;96972;70;1589;299;3812;0,068730325;0,067156348;0,063484;23;20;2
Álvares Machado;314561;69;11243;3127;23566;0,083764746;0,084783162;0,07863;15;35;2
Álvaro de Carvalho;36947;76;998;169;4763;0,062355658;0,112324165;0,158723;10;15;4
Alvinlândia;35027;62;1059;158;3055;0,089361702;0,081178396;0,07725;14;3;4
Americana;9084739;93;149688;29994;217932;0,07119652;0,080699484;0,088454;14;28;3
Américo Brasiliense;570593;74;19021;4424;36240;0,086285872;0,0924117;0,097323;9;28;4
Américo de Campos;67507;84;2908;544;5720;0,07465035;0,074475524;0,074476;19;25;2
Amparo;3025036;84;44219;12828;67048;0,073216203;0,081195561;0,087758;15;79;3
Analândia;115428;55;1854;251;4468;0,080125336;0,084825425;0,087511;15;24;4
Andradina;1836095;78;35653;11224;55594;0,073065439;0,078047991;0,079631;16;100;3
Angatuba;656895;58;9753;2422;22886;0,085030149;0,085336013;0,081622;13;102;3
Anhembi;100219;65;1717;187;5956;0,09032908;0,082102082;0,076561;13;63;4
Anhumas;52697;63;1449;269;3807;0,086157079;0,084581035;0,080641;15;4;4
Aparecida;678021;71;18422;3874;35220;0,078960818;0,085406019;0,085974;13;22;4
Aparecida d'Oeste;64153;69;2496;492;4352;0,076056985;0,072150735;0,0625;21;14;2
Apiaí;559383;70;7829;2383;24917;0,101537103;0,085002207;0,072762;12;109;3
Araçariguama;1286073;58;7562;1363;18266;0,091700427;0,093342823;0,092795;8;25;4
Araçatuba;5376621;81;142817;52750;184468;0,071437865;0,07637639;0,081635;15;69;3
Araçoiaba da Serra;415640;71;15537;3904;28812;0,084964598;0,082535055;0,07962;14;34;4
Aramina;94136;55;2132;186;5262;0,078487267;0,085138731;0,085899;15;30;4
Arandu;72123;60;1856;394;6132;0,094096543;0,088714938;0,077462;13;13;4
Arapeí;22695;68;798;147;2481;0,088270859;0,082224909;0,072954;15;13;2
Araraquara;6805273;85;149733;36376;215021;0,071513945;0,083075607;0,089768;15;129;3
Araras;3912489;77;82493;24301;122556;0,076879141;0,085258984;0,090954;13;63;3
Arco-Íris;32850;58;689;156;1886;0,076882291;0,080063627;0,072641;19;27;2
Arealva;130229;70;3223;723;7950;0,075345912;0,076352201;0,072956;19;31;2
Areias;29902;68;1073;208;3731;0,095148754;0,084427767;0,072367;13;26;4
Areiópolis;96064;60;3881;478;10643;0,090106173;0,093770553;0,092737;9;12;4
Ariranha;478412;67;4748;596;8784;0,074681239;0,083447177;0,09301;14;5;4
Artur Nogueira;741917;63;28224;7211;46904;0,083233839;0,088990278;0,096196;11;21;4
Arujá;2630145;84;44939;5963;79305;0,089805183;0,088430742;0,088179;9;25;4
Aspásia;19979;71;846;182;1795;0,075208914;0,079665738;0,069638;19;4;2
Assis;2182422;74;63879;19868;97061;0,073376536;0,083782364;0,086987;15;88;3
Atibaia;4535623;87;90113;20855;130604;0,07997458;0,081682031;0,084438;13;90;3
Auriflama;215531;73;8483;2103;14296;0,075615557;0,08470901;0,080302;17;47;2
Avaí;181613;68;1422;223;5057;0,094917936;0,092149496;0,077121;13;29;4
Avanhandava;168590;53;4364;1133;11537;0,08321054;0,11857502;0,10644;10;21;4
Avaré;1700617;75;51002;12691;84366;0,07858616;0,085567646;0,085983;14;109;3
Bady Bassitt;249754;71;9359;1679;15182;0,079238572;0,080621789;0,0824;13;13;2
Balbinos;27586;113;548;82;3683;0,032582134;0,160195493;0,213141;7;12;4
Bálsamo;142066;72;4759;863;8279;0,069815195;0,074405121;0,078512;18;11;2
Bananal;140575;61;3211;483;10342;0,084026301;0,078321408;0,07455;15;81;3
Barão de Antonina;34989;75;815;179;3193;0,0861259;0,078609458;0,069527;16;3;2
Barbosa;82671;53;2396;644;6794;0,089785105;0,085663821;0,079188;14;13;4
Bariri;782678;69;20432;4869;32340;0,078540507;0,079962894;0,083302;16;34;2
Barra Bonita;1039622;84;24882;4833;35135;0,071808738;0,077187989;0,08066;15;16;2
Barra do Chapéu;44173;68;1348;613;5324;0,100676183;0,082832457;0,07438;12;27;4
Barra do Turvo;62325;60;1187;314;7691;0,101677285;0,078923417;0,063841;15;75;4
Barretos;3107891;73;75304;26215;114013;0,074965136;0,08292914;0,087823;15;104;3
Barrinha;318275;64;11115;2807;29648;0,087898003;0,094137885;0,101288;8;16;4
Barueri;38813092;104;143281;22195;247934;0,08657546;0,087809659;0,092303;8;32;3
Bastos;586486;70;12088;3247;20340;0,08107178;0,081268437;0,077483;14;20;2
Batatais;1338427;75;33879;6699;57643;0,078777996;0,084138577;0,08537;15;82;3
Bauru;10040995;82;236646;50557;350357;0,07499208;0,081982093;0,087163;14;138;3
Bebedouro;1919887;83;51090;16091;74829;0,078218338;0,0810381;0,082508;15;96;3
Bento de Abreu;107726;65;1188;227;2757;0,081247733;0,080522307;0,085963;13;28;4
Bernardino de Campos;147636;59;5511;811;10773;0,081128748;0,081500046;0,073146;18;24;2
Bertioga;1410546;72;17416;5364;52279;0,088448517;0,086860881;0,090572;8;83;4
Bilac;120043;61;4298;1099;7293;0,074729192;0,081173728;0,084602;17;26;2
Birigui;2301252;78;80367;33194;112678;0,074371217;0,081062852;0,086148;14;76;3
Biritiba-Mirim;470064;63;9356;1529;29680;0,090296496;0,088005391;0,08558;12;27;4
Boa Esperança do Sul;204423;55;5736;609;13924;0,089342143;0,087043953;0,086182;11;44;4
Bocaina;318350;61;5749;983;11250;0,080711111;0,084444444;0,088444;13;26;4
Bofete;141439;52;3925;547;10058;0,088089083;0,081129449;0,074468;16;60;2
Boituva;2095279;76;31385;5113;51147;0,080982267;0,089115686;0,096878;11;48;4
Bom Jesus dos Perdões;364317;62;11068;2576;21104;0,086002654;0,08704511;0,090741;11;13;4
Bom Sucesso de Itararé;43481;72;1024;278;3649;0,110989312;0,092628117;0,075637;9;27;4
Borá;63876;84;355;60;807;0,087980173;0,089219331;0,084263;12;10;4
Boracéia;172314;64;2230;294;4416;0,086277174;0,09057971;0,087183;14;11;4
Borborema;265811;64;7888;1583;14788;0,072964566;0,079929673;0,085475;16;55;2
Borebi;45604;70;794;148;2381;0,092398152;0,092398152;0,081478;12;15;4
Botucatu;3593568;75;80198;15725;131707;0,077080186;0,082091309;0,087588;14;154;3
Bragança Paulista;4097422;79;100895;28020;152268;0,080141592;0,083970368;0,087202;13;101;3
Braúna;61271;65;2150;338;5186;0,075973776;0,084072503;0,091014;17;20;2
Brejo Alegre;151363;81;1138;159;2634;0,083143508;0,080485953;0,081625;14;8;2
Brodowski;375142;55;11618;1808;22018;0,085748024;0,088518485;0,086157;13;27;4
Brotas;507669;68;12566;1890;22290;0,083355765;0,085105428;0,084971;14;65;4
Buri;253003;50;6538;1516;18859;0,094914895;0,084362904;0,07678;11;33;4
Buritama;401014;70;8521;2679;15789;0,074355564;0,080499082;0,082462;15;26;2
Buritizal;134933;39;2270;397;4132;0,072604066;0,079138432;0,085673;16;13;2
Cabrália Paulista;93122;113;1783;325;4341;0,09122322;0,086846349;0,077862;13;16;3
Cabreúva;2257685;77;21230;4338;43914;0,090244569;0,092590062;0,094958;9;48;4
Caçapava;3337044;73;43949;9112;86845;0,079831884;0,081939087;0,085831;13;71;3
Cachoeira Paulista;401842;75;12299;2664;30754;0,07911166;0,081517851;0,084184;14;42;2
Caconde;219137;62;7825;1150;18626;0,089713304;0,081445292;0,072748;16;19;2
Cafelândia;299697;74;7694;1397;16802;0,079454827;0,080942745;0,080467;16;31;2
Caiabu;48244;77;1559;286;4085;0,080783354;0,086413709;0,079315;16;9;2
Caieiras;2583454;80;34895;5162;90692;0,08736162;0,088420147;0,089523;9;24;4
Caiuá;64857;55;1370;335;5207;0,086614173;0,085269829;0,07682;15;18;4
Cajamar;7330483;77;29646;4375;68143;0,088695831;0,093201062;0,098103;8;25;4
Cajati;941261;65;9805;3181;28464;0,098756324;0,084071107;0,075112;11;42;4
Cajobi;103289;63;4296;511;9878;0,077039887;0,087872039;0,091314;15;12;4
Cajuru;388651;66;11642;1799;24056;0,088044563;0,089208513;0,084761;13;57;4
Campina do Monte Alegre;90705;79;1849;380;5639;0,087249512;0,082461429;0,080688;14;15;4
Campinas;48656923;75;792448;114581;1111795;0,073162768;0,082468441;0,092384;13;227;3
